Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,2009-4-5,2010-7-4,Spring,Sundays at 17:00 (JST),"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken","Funimation,Aniplex of America",Bones,Manga,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",24 min. per ep.,R,9.25,719706,1176368,105387
Kimi no Na wa.,Movie,1,Finished Airing,2016-8-26,-,-,-,"Kadokawa Shoten,Toho,Sound Team Don Juan,Lawson HMV Entertainment,Amuse,East Japan Marketing & Communications","Funimation,NYAV Post",CoMix Wave Films,Original,"Supernatural,Drama,Romance,School",1 hr. 46 min.,PG-13,9.19,454969,705186,33936
Gintama°,TV,51,Finished Airing,2015-4-8,2016-3-30,Spring,Wednesdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu","Funimation,Crunchyroll",Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,R,9.16,70279,194359,5597
Steins;Gate 0,TV,23,Currently Airing,2018-4-12,-,Spring,Thursdays at 01:35 (JST),Nitroplus,Funimation,White Fox,Visual novel,"Sci-Fi,Thriller",23 min. per ep.,PG-13,9.16,12609,186331,1117
Steins;Gate,TV,24,Finished Airing,2011-4-6,2011-9-14,Spring,Wednesdays at 02:05 (JST),"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus",Funimation,White Fox,Visual novel,"Sci-Fi,Thriller",24 min. per ep.,PG-13,9.14,552791,990419,90365
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,1988-1-8,1997-3-17,-,-,Kitty Films,Sentai Filmworks,"Artland,Magic Bus",Novel,"Military,Sci-Fi,Space,Drama",26 min. per ep.,R,9.11,28452,121772,8370
Gintama',TV,51,Finished Airing,2011-4-4,2012-3-26,Spring,Mondays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",24 min. per ep.,PG-13,9.11,90758,212238,4533
Hunter x Hunter (2011),TV,148,Finished Airing,2011-10-2,2014-9-24,Fall,Sundays at 10:55 (JST),"VAP,Nippon Television Network,Shueisha",Viz Media,Madhouse,Manga,"Action,Adventure,Super Power,Shounen",23 min. per ep.,PG-13,9.11,395162,705225,63324
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,2017-10-14,2018-3-31,Fall,Saturdays at 23:00 (JST),"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace Entertainment,Toy's Factory",Aniplex of America,Shaft,Manga,"Drama,Game,Seinen,Slice of Life",25 min. per ep.,PG-13,9.1,26284,80166,1961
Gintama': Enchousen,TV,13,Finished Airing,2012-10-4,2013-3-28,Fall,Thursdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",-,Sunrise,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13,9.07,62582,121612,1498
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,2013-7-6,-,-,-,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros.,Shueisha",-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",1 hr. 50 min.,PG-13,9.04,60295,104021,1374
Koe no Katachi,Movie,1,Finished Airing,2016-9-17,-,-,-,"Shochiku,Pony Canyon,Kodansha,ABC Animation,Quaras",NYAV Post,Kyoto Animation,Manga,"Drama,School,Shounen",2 hr. 10 min.,PG-13,9.04,283214,491799,18911
Owarimonogatari 2nd Season,TV,7,Finished Airing,2017-8-12,2017-8-13,Summer,Not scheduled once per week,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Mystery,Comedy,Supernatural,Vampire",22 min. per ep.,R,9.03,40936,109651,2372
Gintama.,TV,12,Finished Airing,2017-1-9,2017-3-27,Winter,Mondays at 01:35 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha",-,Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13,9.02,39493,89409,1222
Clannad: After Story,TV,24,Finished Airing,2008-10-3,2009-3-27,Fall,Fridays at 01:59 (JST),"Pony Canyon,TBS,Rakuonsha,Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Slice of Life,Comedy,Supernatural,Drama,Romance",24 min. per ep.,PG-13,9.01,359297,599866,47076
Gintama,TV,201,Finished Airing,2006-4-4,2010-3-25,Spring,Thursdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Audio Highs,Miracle Robo,Shueisha","Sentai Filmworks,Crunchyroll",Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",24 min. per ep.,PG-13,9.01,139984,452486,33507
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,2016-10-8,2016-12-10,Fall,Saturdays at 01:55 (JST),"TOHO animation,Shueisha",Sentai Filmworks,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",24 min. per ep.,PG-13,8.99,154220,245797,4078
Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,2008-4-6,2008-9-28,Spring,Sundays at 17:00 (JST),"Bandai Visual,Mainichi Broadcasting System,Bandai,Bandai Namco Entertainment,Hakuhodo DY Media Partners","Funimation,Bandai Entertainment",Sunrise,Original,"Action,Drama,Mecha,Military,Sci-Fi,Super Power",24 min. per ep.,R,8.95,536915,780346,43856
Made in Abyss,TV,13,Finished Airing,2017-7-7,2017-9-29,Summer,Fridays at 21:30 (JST),"Media Factory,AT-X,Takeshobo,Sony Music Communications,Kadokawa Media House,Cygames,Kanetsu Co., LTD.",Sentai Filmworks,Kinema Citrus,Web manga,"Sci-Fi,Adventure,Mystery,Drama,Fantasy",25 min. per ep.,R,8.92,157920,308918,11246
Sen to Chihiro no Kamikakushi,Movie,1,Finished Airing,2001-7-20,-,-,-,Toho,"Walt Disney Studios,GKIDS",Studio Ghibli,Original,"Adventure,Supernatural,Drama",2 hr. 5 min.,PG,8.92,490546,693611,15225
Haikyuu!! Second Season,TV,25,Finished Airing,2015-10-4,2016-3-27,Fall,Sundays at 02:58 (JST),"TOHO animation,Shueisha",Sentai Filmworks,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",24 min. per ep.,PG-13,8.88,201157,326190,6480
Kizumonogatari III: Reiketsu-hen,Movie,1,Finished Airing,2017-1-6,-,-,-,"Aniplex,Kodansha",-,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",1 hr. 23 min.,R,8.88,59924,125489,1477
Shigatsu wa Kimi no Uso,TV,22,Finished Airing,2014-10-10,2015-3-20,Fall,Fridays at 01:20 (JST),"Aniplex,Dentsu,Kodansha,Fuji TV,Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,"Drama,Music,Romance,School,Shounen",22 min. per ep.,PG-13,8.88,404812,701954,38990
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,2018-1-8,2018-3-26,Winter,Mondays at 01:35 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha",-,Bandai Namco Pictures,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",24 min. per ep.,PG-13,8.86,13190,39829,388
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,2017-1-7,2017-3-25,Winter,Saturdays at 02:25 (JST),"Mainichi Broadcasting System,Kodansha,DAX Production,King Records",-,Studio Deen,Manga,"Historical,Drama,Josei",24 min. per ep.,PG-13,8.87,26744,73103,1360
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,2014-10-19,2014-12-21,Fall,Sundays at 00:30 (JST),"Aniplex,Kodansha,Delfi Sound",Aniplex of America,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",23 min. per ep.,PG-13,8.83,48104,116262,693
Cowboy Bebop,TV,26,Finished Airing,1998-4-3,1999-4-24,Spring,Saturdays at 01:00 (JST),Bandai Visual,"Funimation,Bandai Entertainment",Sunrise,Original,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",24 min. per ep.,R,8.81,359700,695231,38654
Hajime no Ippo,TV,75,Finished Airing,2000-10-4,2002-3-27,Fall,Tuesdays at 00:50 (JST),VAP,Geneon Entertainment USA,Madhouse,Manga,"Comedy,Sports,Drama,Shounen",23 min. per ep.,PG-13,8.8,114872,225314,10649
Mononoke Hime,Movie,1,Finished Airing,1997-7-12,-,-,-,"Tokuma Shoten,Nippon Television Network",GKIDS,Studio Ghibli,Original,"Action,Adventure,Fantasy",2 hr. 10 min.,PG-13,8.8,328929,499571,10540
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,2006-10-6,2007-7-29,Fall,Fridays at 01:25 (JST),"Bandai Visual,Mainichi Broadcasting System,Bandai,Sony Music Entertainment,Bandai Namco Entertainment,Hakuhodo DY Media Partners","Funimation,Bandai Entertainment",Sunrise,Original,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",24 min. per ep.,R,8.79,619589,972802,62965
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,1999-2-20,1999-9-22,-,-,Aniplex,"ADV Films,Aniplex of America",Studio Deen,Manga,"Action,Historical,Drama,Romance,Martial Arts,Samurai",30 min. per ep.,R,8.79,88381,165485,4640
Boku no Hero Academia 2nd Season,TV,25,Finished Airing,2017-4-1,2017-9-30,Spring,Saturdays at 17:30 (JST),"Dentsu,Yomiuri Telecasting,Movic,Sony Music Entertainment,TOHO animation,Shueisha",Funimation,Bones,Manga,"Action,Comedy,Super Power,School,Shounen",23 min. per ep.,PG-13,8.77,330448,555433,11228
Monogatari Series: Second Season,TV,26,Finished Airing,2013-7-7,2013-12-29,Summer,Sundays at 00:00 (JST),"Aniplex,Kodansha,Cyclone Graphics inc",Aniplex of America,Shaft,Light novel,"Mystery,Comedy,Supernatural,Romance,Vampire",24 min. per ep.,R,8.77,159599,299227,11763
Mushishi Zoku Shou,TV,10,Finished Airing,2014-4-5,2014-6-21,Spring,Saturdays at 00:00 (JST),"Aniplex,Kodansha,Delfi Sound",Aniplex of America,Artland,Manga,"Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",24 min. per ep.,PG-13,8.77,59834,143770,874
Ookami Kodomo no Ame to Yuki,Movie,1,Finished Airing,2012-7-21,-,-,-,"Madhouse,VAP,Dentsu,Yomiuri Telecasting,Kadokawa Shoten,Toho,Hiroshima Television",Funimation,Studio Chizu,Original,"Slice of Life,Fantasy",1 hr. 57 min.,PG,8.77,201346,351703,7014
Natsume Yuujinchou Roku,TV,11,Finished Airing,2017-4-12,2017-6-21,Spring,Wednesdays at 01:35 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",-,Shuka,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",23 min. per ep.,PG-13,8.75,23690,64281,506
Great Teacher Onizuka,TV,43,Finished Airing,1999-6-30,2000-9-17,Summer,Wednesdays at 19:30 (JST),"Aniplex,Fuji TV","Discotek Media,TOKYOPOP",Studio Pierrot,Manga,"Comedy,Drama,School,Shounen,Slice of Life",25 min. per ep.,R,8.74,185291,355842,13951
Mushishi,TV,26,Finished Airing,2005-10-23,2006-6-19,Fall,Sundays at 03:40 (JST),"Avex Entertainment,Marvelous,SKY Perfect Well Think,Delfi Sound",Funimation,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",25 min. per ep.,PG-13,8.74,145817,402744,17849
Tengen Toppa Gurren Lagann,TV,27,Finished Airing,2007-4-1,2007-9-30,Spring,Sundays at 08:30 (JST),"TV Tokyo,Aniplex,Dentsu,Konami,Half H.P Studio,Bandai","Bandai Entertainment,Aniplex of America",Gainax,Original,"Action,Adventure,Comedy,Mecha,Sci-Fi",24 min. per ep.,PG-13,8.74,443327,775577,49556
Hajime no Ippo: New Challenger,TV,26,Finished Airing,2009-1-7,2009-7-1,Winter,Wednesdays at 01:29 (JST),"VAP,Kodansha,Nippon Television Network",-,Madhouse,Manga,"Comedy,Sports,Drama,Shounen",23 min. per ep.,PG-13,8.73,76696,124203,1060
Howl no Ugoku Shiro,Movie,1,Finished Airing,2004-11-20,-,-,-,"d-rights,Tokuma Shoten",Walt Disney Studios,Studio Ghibli,Novel,"Adventure,Drama,Fantasy,Romance",1 hr. 57 min.,G,8.73,329436,473914,9640
One Punch Man,TV,12,Finished Airing,2015-10-5,2015-12-21,Fall,Mondays at 01:05 (JST),"TV Tokyo,Bandai Visual,Lantis,Asatsu DK,Banpresto,Good Smile Company,Shueisha,East Japan Marketing & Communications",Viz Media,Madhouse,Web manga,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural,Seinen",24 min. per ep.,R,8.73,675113,994888,30140
Suzumiya Haruhi no Shoushitsu,Movie,1,Finished Airing,2010-2-6,-,-,-,"Kadokawa Shoten,Animation Do","Funimation,Bandai Entertainment",Kyoto Animation,Light novel,"Comedy,Mystery,Romance,School,Sci-Fi,Supernatural",2 hr. 42 min.,PG-13,8.73,177650,319467,8499
Natsume Yuujinchou Shi,TV,13,Finished Airing,2012-1-3,2012-3-27,Winter,Tuesdays at 01:30 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha,Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",24 min. per ep.,PG-13,8.72,61530,130966,1387
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Finished Airing,2015-5-16,-,-,-,"Aniplex,Kodansha,Delfi Sound",-,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",47 min.,PG-13,8.71,21922,54408,123
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,2016-8-19,-,-,-,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",1 hr. 4 min.,R,8.7,69241,132506,744
Bakuman. 3rd Season,TV,25,Finished Airing,2012-10-6,2013-3-30,Fall,-,"NHK,Shueisha",-,J.C.Staff,Manga,"Comedy,Drama,Romance,Shounen",24 min. per ep.,PG-13,8.67,106543,180516,2061
Death Note,TV,37,Finished Airing,2006-10-4,2007-6-27,Fall,Wednesdays at 00:56 (JST),"VAP,Konami,Ashi Production,Nippon Television Network,Shueisha",Viz Media,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller,Shounen",23 min. per ep.,R,8.67,993775,1432871,87872
Hajime no Ippo: Rising,TV,25,Finished Airing,2013-10-6,2014-3-29,Fall,Sundays at 01:35 (JST),"VAP,Kodansha,Nippon Television Network",-,"Madhouse,MAPPA",Manga,"Comedy,Sports,Drama,Shounen",22 min. per ep.,PG-13,8.67,58403,101167,639
Saiki Kusuo no Ψ-nan (TV) 2,TV,24,Currently Airing,2018-1-17,-,Winter,Wednesdays at 01:35 (JST),"TV Tokyo,Shogakukan Productions,Nippon Columbia,KlockWorx,Asmik Ace Entertainment,Bandai Namco Entertainment,Shueisha,Toy's Factory,Dear Stage inc.",-,"J.C.Staff,Egg Firm",Manga,"Slice of Life,Comedy,Supernatural,School,Shounen",24 min. per ep.,PG-13,8.67,11176,53301,372
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,2016-1-8,2016-7-1,Winter,Fridays at 01:25 (JST),"Dentsu,Fuji TV,DAX Production,Avex Pictures,Shueisha,Kansai Telecasting",Funimation,Lerche,Manga,"Action,Comedy,School,Shounen",23 min. per ep.,PG-13,8.66,207074,369455,6549
Fate/Zero 2nd Season,TV,12,Finished Airing,2012-4-8,2012-6-24,Spring,Sundays at 00:00 (JST),"Aniplex,Nitroplus,Seikaisha,Notes",Aniplex of America,ufotable,Novel,"Action,Supernatural,Magic,Fantasy",24 min. per ep.,R,8.66,308831,492593,10880
Haikyuu!!,TV,25,Finished Airing,2014-4-6,2014-9-21,Spring,Sundays at 17:00 (JST),"Mainichi Broadcasting System,TOHO animation,Shueisha",Sentai Filmworks,Production I.G,Manga,"Comedy,Drama,School,Shounen,Sports",24 min. per ep.,PG-13,8.66,272976,473577,23414
Pingu in the City,TV,26,Finished Airing,2017-10-7,2018-3-31,Fall,Saturdays at 09:20 (JST),NHK,-,Polygon Pictures,Other,"Slice of Life,Comedy,Kids",7 min. per ep.,G,8.66,5977,21226,619
Natsume Yuujinchou San,TV,13,Finished Airing,2011-7-5,2011-9-27,Summer,Tuesdays at 01:30 (JST),"Aniplex,Sakura Create","NIS America, Inc.",Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",24 min. per ep.,PG-13,8.65,68203,137602,973
Ping Pong The Animation,TV,11,Finished Airing,2014-4-11,2014-6-20,Spring,Fridays at 00:50 (JST),"Aniplex,Dentsu,Fuji TV,Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Sports,Psychological,Drama,Seinen",23 min. per ep.,PG-13,8.65,71878,144440,6965
Sora yori mo Tooi Basho,TV,13,Finished Airing,2018-1-2,2018-3-27,Winter,Tuesdays at 20:30 (JST),"Media Factory,Movic,AT-X,Sony Music Communications,Docomo Anime Store,Kadokawa Media House,Kadokawa,NewGin,Crunchyroll SC Anime Fund",-,Madhouse,Original,"Slice of Life,Adventure",23 min. per ep.,PG-13,8.65,35256,98573,2008
Yojouhan Shinwa Taikei,TV,11,Finished Airing,2010-4-23,2010-7-2,Spring,Fridays at 00:45 (JST),"Dentsu,Kadokawa Shoten,Fuji TV,Toho,Asmik Ace Entertainment,Tohokushinsha Film Corporation,Sony Music Entertainment,Fuji Pacific Music Publishing",Funimation,Madhouse,Novel,"Mystery,Comedy,Psychological,Romance",23 min. per ep.,R,8.65,59567,180689,9301
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Finished Airing,2016-4-2,2016-12-24,Spring,Saturdays at 00:30 (JST),"Warner Bros.,KlockWorx,Medicos Entertainment,Shueisha",Viz Media,David Production,Manga,"Action,Adventure,Comedy,Supernatural,Drama,Shounen",23 min. per ep.,R,8.64,96615,176448,6981
Mushishi Special: Hihamukage,Special,1,Finished Airing,2014-1-4,-,-,-," Aniplex,Kodansha,Delfi Sound",-,Artland,Manga," Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",45 min.,PG-13,8.64,35673,66879,101
Natsume Yuujinchou Go,TV,11,Finished Airing,2016-10-5,2016-12-21,Fall,Wednesdays at 01:35 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",-,Shuka,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",23 min. per ep.,PG-13,8.64,30968,79095,453
Kara no Kyoukai 5: Mujun Rasen,Movie,1,Finished Airing,2008-8-16,-,-,-,Notes,Aniplex of America,ufotable,Light novel,"Action,Mystery,Supernatural,Drama,Romance,Thriller",1 hr. 54 min.,R,8.63,78064,138255,2973
Shouwa Genroku Rakugo Shinjuu,TV,13,Finished Airing,2016-1-9,2016-4-2,Winter,Saturdays at 02:25 (JST),"Starchild Records,Mainichi Broadcasting System,Kodansha,DAX Production",-,Studio Deen,Manga,"Drama,Historical,Josei",26 min. per ep.,PG-13,8.63,46836,139271,3226
Zoku Natsume Yuujinchou,TV,13,Finished Airing,2009-1-6,2009-3-31,Winter,Tuesdays at 01:00 (JST),"Aniplex,Nihon Ad Systems","NIS America, Inc.",Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",24 min. per ep.,PG-13,8.62,76893,145985,1206
Ashita no Joe 2,TV,47,Finished Airing,1980-10-13,1981-8-31,Fall,-,Annapuru,-,Tokyo Movie Shinsha,Manga,"Action,Drama,Shounen,Slice of Life,Sports",24 min. per ep.,PG-13,8.6,4127,11867,518
Aria The Origination,TV,13,Finished Airing,2008-1-8,2008-4-1,Winter,Tuesdays at 02:00 (JST),"TV Tokyo,Shochiku,Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,"Fantasy,Sci-Fi,Shounen,Slice of Life",24 min. per ep.,G,8.59,17893,70380,2972
Gintama.: Porori-hen,TV,13,Finished Airing,2017-10-2,2017-12-25,Fall,Mondays at 01:35 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha",-,Bandai Namco Pictures,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",23 min. per ep.,PG-13,8.59,22015,51931,445
Rainbow: Nisha Rokubou no Shichinin,TV,26,Finished Airing,2010-4-7,2010-9-29,Spring,-,"VAP,Nippon Television Network",Funimation,Madhouse,Manga,"Drama,Historical,Seinen,Thriller",22 min. per ep.,R,8.59,77292,193900,5154
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Finished Airing,2013-4-20,-,-,-,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,MAGES.",Funimation,White Fox,Visual novel,"Sci-Fi,Drama",1 hr. 30 min.,PG-13,8.58,163175,276648,1347
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Finished Airing,2010-4-24,-,-,-,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros.,Shueisha",Sentai Filmworks,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",1 hr. 35 min.,R,8.57,41905,71355,323
Violet Evergarden,TV,13,Finished Airing,2018-1-11,2018-4-5,Winter,Thursdays at 00:00 (JST),"Lantis,Pony Canyon,Rakuonsha,ABC Animation",-,Kyoto Animation,Light novel,"Slice of Life,Drama,Fantasy",23 min. per ep.,PG-13,8.57,88787,322653,4963
Boku dake ga Inai Machi,TV,12,Finished Airing,2016-1-8,2016-3-25,Winter,Fridays at 00:55 (JST),"Aniplex,Dentsu,Kadokawa Shoten,Fuji TV,DAX Production,Kyoraku Industrial Holdings,Kansai Telecasting,Lawson",Aniplex of America,A-1 Pictures,Manga,"Mystery,Psychological,Seinen,Supernatural",23 min. per ep.,R,8.56,432114,684588,20942
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,Finished Airing,2015-1-10,2015-6-20,Winter,Saturdays at 00:30 (JST),"Yomiko Advertising,Warner Bros.,KlockWorx",Viz Media,David Production,Manga,"Action,Adventure,Drama,Shounen,Supernatural",23 min. per ep.,R,8.56,118095,185350,4352
Uchuu Kyoudai,TV,99,Finished Airing,2012-4-1,2014-3-22,Spring,Sundays at 07:00 (JST),"Aniplex,Dentsu,YTV,Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,"Comedy,Sci-Fi,Seinen,Slice of Life,Space",24 min. per ep.,PG-13,8.56,26394,97549,2494
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,Finished Airing,2011-4-15,2011-6-24,Spring,Fridays at 01:15 (JST),"Aniplex,Dentsu,Fuji TV,Fuji Pacific Music Publishing","NIS America, Inc.,Aniplex of America",A-1 Pictures,Original,"Slice of Life,Supernatural,Drama",22 min. per ep.,PG-13,8.55,392312,650827,20971
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,Finished Airing,2004-1-1,2005-1-8,Winter,-,"Bandai Visual,Dentsu,Victor Entertainment,Tokuma Shoten","Bandai Entertainment,Manga Entertainment",Production I.G,Manga,"Action,Military,Sci-Fi,Mystery,Police,Mecha,Seinen",25 min. per ep.,R,8.55,71671,147861,2388
Hotaru no Haka,Movie,1,Finished Airing,1988-4-16,-,-,-,-,"ADV Films,Central Park Media,Sentai Filmworks",Studio Ghibli,Novel,"Drama,Historical",1 hr. 28 min.,PG-13,8.55,144566,241170,2851
Hotarubi no Mori e,Movie,1,Finished Airing,2011-9-17,-,-,-,Aniplex,-,Brain's Base,Manga,"Drama,Romance,Shoujo,Supernatural",45 min.,G,8.55,171392,306369,5516
Kuroshitsuji Movie: Book of the Atlantic,Movie,1,Finished Airing,2017-1-21,-,-,-,"Aniplex,Square Enix",Funimation,A-1 Pictures,Manga,"Action,Comedy,Historical,Demons,Supernatural,Fantasy",1 hr. 40 min.,R,8.55,17621,59525,542
Saiki Kusuo no Ψ-nan (TV),TV,120,Finished Airing,2016-7-4,2016-12-26,Summer,Not scheduled once per week,"TV Tokyo,Shogakukan Productions,Pony Canyon,Nippon Columbia,KlockWorx,Asmik Ace Entertainment,Bandai Namco Entertainment,Shueisha,Toy's Factory,Dear Stage inc.",Funimation,"J.C.Staff,Egg Firm",Manga,"Slice of Life,Comedy,Supernatural,School,Shounen",5 min. per ep.,PG-13,8.55,54439,134170,2715
Slam Dunk,TV,101,Finished Airing,1993-10-16,1996-3-23,Fall,-,"TV Asahi,Animax","Flatiron Film Company,Geneon Entertainment USA",Toei Animation,Manga,"Comedy,Sports,Drama,School,Shounen",23 min. per ep.,PG-13,8.55,54336,113097,3387
Kamisama Hajimemashita: Kako-hen,OVA,4,Finished Airing,2015-8-20,2016-8-19,-,-,-,-,TMS Entertainment,Manga,"Comedy,Demons,Supernatural,Romance,Fantasy,Shoujo",30 min. per ep.,PG-13,8.54,26535,60840,510
Kuroko no Basket 3rd Season,TV,25,Finished Airing,2015-1-11,2015-6-30,Winter,Sundays at 01:58 (JST),"Bandai Visual,Lantis,Nihon Ad Systems,Banpresto,Shueisha,BS11",-,Production I.G,Manga,"Comedy,Sports,School,Shounen",24 min. per ep.,PG-13,8.54,171156,282268,3328
Major S5,TV,25,Finished Airing,2009-1-10,2009-6-27,Winter,-,NHK,-,SynergySP,Manga,"Comedy,Drama,Romance,Sports",24 min. per ep.,PG-13,8.54,22741,37525,435
One Piece,TV,-,Currently Airing,1999-10-20,-,Fall,Sundays at 09:30 (JST),"Fuji TV,TAP,Shueisha","Funimation,4Kids Entertainment",Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",24 min.,PG-13,8.54,417652,707815,68985
Hellsing Ultimate,OVA,10,Finished Airing,2006-2-10,2012-12-26,-,-,"Geneon Universal Entertainment,StudioRF Inc.,Shounen Gahousha","Funimation,Geneon Entertainment USA","Madhouse,Satelight,Graphinica",Manga,"Action,Military,Horror,Supernatural,Vampire,Seinen",50 min. per ep.,R,8.53,218758,418528,13317
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,Finished Airing,2012-8-26,-,-,-,-,-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",1 hr. 36 min. per ep.,PG-13,8.52,6891,18044,32
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,Finished Airing,2009-8-8,-,-,-,Notes,Aniplex of America,ufotable,Light novel,"Action,Mystery,Supernatural,Romance,Thriller",2 hr. 1 min.,R,8.52,66168,119617,1433
Kiseijuu: Sei no Kakuritsu,TV,24,Finished Airing,2014-10-9,2015-3-26,Fall,Thursdays at 01:29 (JST),"VAP,Kodansha,Nippon Television Network,Forecast Communications",Sentai Filmworks,Madhouse,Manga,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen",23 min. per ep.,R,8.52,402831,663525,15676
Mushishi Zoku Shou: Odoro no Michi,Special,1,Finished Airing,2014-8-20,-,-,-,"Aniplex,Kodansha,Delfi Sound",Aniplex of America,Artland,Manga,"Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",47 min.,PG-13,8.52,25080,48395,59
