Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Ergo Proxy,TV,23,Finished Airing,2006-2-25,2006-8-12,Winter,Saturdays at 19:00 (JST),"Geneon Universal Entertainment,WOWOW,Sakura Create","Funimation,Geneon Entertainment USA",Manglobe,Original,"Sci-Fi,Mystery,Psychological",25 min. per ep.,R,7.99,135663,339272,8616
Haikyuu!! Movie 2: Shousha to Haisha,Movie,1,Finished Airing,2015-9-18,-,-,-,-,-,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",1 hr. 28 min.,None,7.99,3923,18899,24
Haikyuu!! Movie 3: Sainou to Sense,Movie,1,Finished Airing,2017-9-15,-,-,-,-,-,Production I.G,Manga,"Comedy,Drama,School,Shounen,Sports",1 hr. 29 min.,PG-13,7.98,964,10130,15
Junjou Romantica,TV,12,Finished Airing,2008-4-11,2008-6-27,Spring,-,"Frontier Works,Kadokawa Shoten,Memory-Tech,Romantica club !!",Nozomi Entertainment,Studio Deen,Manga,"Comedy,Drama,Romance,Shounen Ai",24 min. per ep.,PG-13,7.99,85747,145138,4688
Love Live! School Idol Project 2nd Season,TV,13,Finished Airing,2014-4-6,2014-6-29,Spring,Sundays at 22:30 (JST),"Bandai Visual,Lantis,Bushiroad","NIS America, Inc.",Sunrise,Other,"Music,School,Slice of Life",23 min. per ep.,PG-13,7.99,78499,136520,2462
Magi: Sinbad no Bouken,OVA,5,Finished Airing,2014-5-14,2015-7-15,-,-,"Aniplex,Shogakukan",-,Lay-duce,Manga,"Action,Adventure,Fantasy,Magic,Shounen",24 min. per ep.,PG-13,7.99,31719,69183,170
Sayonara Zetsubou Sensei,TV,12,Finished Airing,2007-7-8,2007-9-23,Summer,-,"Starchild Records,Omnibus Japan",Media Blasters,Shaft,Manga,"Comedy,Parody,School",24 min. per ep.,R,7.99,87256,211821,3922
Serial Experiments Lain,TV,13,Finished Airing,1998-7-6,1998-9-28,Summer,Tuesdays at 01:15 (JST),"TV Tokyo,Geneon Universal Entertainment,Genco,Pioneer LDC,TV Tokyo Music,Fuji Pacific Music Publishing","Funimation,Geneon Entertainment USA",Triangle Staff,Original,"Dementia,Drama,Mystery,Psychological,Sci-Fi,Supernatural",23 min. per ep.,R,7.99,117093,287433,9926
Seto no Hanayome OVA,OVA,2,Finished Airing,2008-11-3,2009-1-5,-,-,AIC,-,Gonzo,Manga,"Comedy,Parody,Romance,School",30 min. per ep.,PG-13,7.99,21210,37041,32
Suzumiya Haruhi no Yuuutsu,TV,14,Finished Airing,2006-4-3,2006-7-3,Spring,Mondays at 00:00 (JST),"Lantis,Kadokawa Shoten,Kadokawa Pictures Japan,KlockWorx","Funimation,Bandai Entertainment,Kadokawa Pictures USA",Kyoto Animation,Light novel,"Comedy,Mystery,Parody,School,Sci-Fi,Slice of Life",23 min. per ep.,PG-13,7.99,302212,536260,13925
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,Finished Airing,2005-10-5,2006-3-29,Fall,Wednesdays at Unknown,"VAP,Nippon Television Network",-,Madhouse,Manga,"Game,Psychological,Thriller,Seinen",23 min. per ep.,R,7.99,26763,60432,821
Zoku Sayonara Zetsubou Sensei,TV,13,Finished Airing,2008-1-6,2008-3-30,Winter,Sundays at Unknown,Starchild Records,-,Shaft,Manga,"Comedy,Parody,School",25 min. per ep.,R,7.99,41848,86705,377
Detective Conan Movie 08: Time Travel of the Silver Sky,Special,1,Finished Airing,2004-4-30,-,-,-,-,-,TMS Entertainment,-,"Adventure,Mystery",25 min.,PG-13,7.98,4566,9654,4
Digimon Adventure tri. 3: Kokuhaku,Movie,1,Finished Airing,2016-9-24,-,-,-,"Bandai,Ai Addiction",Shout! Factory,Toei Animation,Original,"Action,Adventure,Comedy,Drama",1 hr. 45 min.,PG-13,7.98,19394,38530,119
Hataraku Maou-sama!,TV,13,Finished Airing,2013-4-4,2013-6-27,Spring,Thursdays at 22:00 (JST),"Sotsu,Lantis,Pony Canyon,Magic Capsule,Infinite",Funimation,White Fox,Light novel,"Comedy,Demons,Supernatural,Romance,Fantasy",24 min. per ep.,PG-13,7.98,383176,620113,6864
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA,1,Finished Airing,2005-12-11,-,-,-,"Hal Film Maker,MediaNet",Funimation,Gonzo,Original,"Comedy,Drama,Shoujo",50 min.,PG,7.98,5393,10411,32
Macross F,TV,25,Finished Airing,2008-4-4,2008-9-26,Spring,Fridays at 01:25 (JST),"Bandai Visual,Mainichi Broadcasting System,Big West",-,Satelight,Original,"Action,Mecha,Military,Music,Romance,Sci-Fi,Space",24 min. per ep.,PG-13,7.98,51463,108459,1740
Magic Kaito,Special,12,Finished Airing,2010-4-17,2012-12-29,-,-,-,-,TMS Entertainment,Manga,"Adventure,Comedy,Romance,Shounen",23 min. per ep.,PG-13,7.98,15049,37206,237
Saiyuuki Gaiden,OVA,3,Finished Airing,2011-3-25,2011-11-25,-,-,Anpro,Sentai Filmworks,-,Manga,"Action,Adventure,Drama,Fantasy",30 min. per ep.,PG-13,7.98,2841,8449,60
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Finished Airing,2018-2-24,-,-,-,"Bandai Visual,Lantis,Hakuhodo DY Music & Pictures,Cygames",-,P.A. Works,Original,"Drama,Fantasy",1 hr. 55 min.,PG-13,7.98,144,24358,48
Carnival Phantasm,OVA,12,Finished Airing,2011-8-14,2011-12-31,-,-,Notes,-,Lerche,Manga,"Comedy,Parody,Supernatural",14 min. per ep.,PG-13,7.97,46980,97642,927
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,Finished Airing,2009-7-1,-,-,-,Animation Do,Sentai Filmworks,Kyoto Animation,Visual novel,"Drama,Romance,School",24 min.,PG-13,7.97,109664,164994,516
Detective Conan Movie 01: The Timed Skyscraper,Movie,1,Finished Airing,1997-4-19,-,-,-,"Shogakukan Productions,YTV",Funimation,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",1 hr. 34 min.,PG-13,7.97,23651,36932,44
Hokuto no Ken,TV,109,Finished Airing,1984-10-4,1987-3-5,Fall,-,-,"Discotek Media,Manga Entertainment",Toei Animation,Manga,"Action,Sci-Fi,Drama,Martial Arts,Shounen",25 min. per ep.,R,7.97,18103,60379,1437
Initial D Third Stage,Movie,1,Finished Airing,2001-1-13,-,-,-,OB Planning,Funimation,Studio Deen,Manga,"Action,Cars,Sports,Drama,Romance,Seinen",1 hr. 45 min.,PG-13,7.97,38935,60751,221
Les Misérables: Shoujo Cosette,TV,52,Finished Airing,2007-1-7,2007-12-30,Winter,-,-,-,Nippon Animation,Novel,"Slice of Life,Historical,Drama,Shoujo",24 min. per ep.,G,7.97,3353,13062,118
Mobile Suit Gundam Thunderbolt,ONA,4,Finished Airing,2015-12-25,2016-4-22,-,-,-,-,Sunrise,Manga,"Action,Military,Sci-Fi,Space,Drama,Mecha",18 min. per ep.,R,7.97,12624,25190,192
Zan Sayonara Zetsubou Sensei,TV,13,Finished Airing,2009-7-5,2009-9-27,Summer,-,-,-,Shaft,Manga,"Parody,Comedy,School",23 min. per ep.,R,7.97,27166,66220,179
Byousoku 5 Centimeter,Movie,3,Finished Airing,2007-3-3,-,-,-,-,"ADV Films,Bandai Entertainment,Discotek Media,Crunchyroll",CoMix Wave Films,Original,"Drama,Romance,Slice of Life",22 min. per ep.,PG-13,7.96,277431,451510,7793
Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,1,Finished Airing,2003-4-19,-,-,-,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",1 hr. 48 min.,PG-13,7.96,16811,27838,25
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,OVA,7,Finished Airing,1992-7-23,1998-1-25,-,-,Bandai Visual,"Media Blasters,NYAV Post,Manga Entertainment",-,Manga,"Action,Sci-Fi,Super Power,Drama,Mecha,Shounen",49 min. per ep.,PG-13,7.96,4393,15300,296
Ginga Tetsudou 999,TV,113,Finished Airing,1978-9-14,1981-4-9,Fall,Thursdays at 19:00 (JST),-,-,Toei Animation,Manga,"Sci-Fi,Adventure,Space,Drama",25 min. per ep.,G,7.96,2980,16781,254
Hakuouki Movie 2: Shikon Soukyuu,Movie,1,Finished Airing,2014-3-8,-,-,-,-,Sentai Filmworks,Studio Deen,Visual novel,"Action,Historical,Supernatural,Drama,Samurai,Josei",1 hr. 27 min.,PG-13,7.96,3635,12942,54
Hanasaku Iroha: Home Sweet Home,Movie,1,Finished Airing,2013-3-9,-,-,-,"Sotsu,Lantis,Infinite","NIS America, Inc.",P.A. Works,Original,"Slice of Life,Comedy,Drama",1 hr. 6 min.,PG-13,7.96,20416,46772,50
Hidamari Sketch x ☆☆☆,TV,12,Finished Airing,2010-1-8,2010-3-26,Winter,Fridays at 01:29 (JST),"Aniplex,Lantis,TBS,Movic,Houbunsha",Sentai Filmworks,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",24 min. per ep.,PG-13,7.96,8873,18247,129
